time	V(vout)	V(vpre)
1.000050703596248e-005	-2.471811e-005	8.873352e-001
1.000050703596615e-005	-2.471811e-005	8.873352e-001
1.000050703596982e-005	-2.471811e-005	8.873352e-001
1.000050703597350e-005	-2.471811e-005	8.873352e-001
1.000050703597450e-005	-2.471811e-005	8.873352e-001
1.000050703597817e-005	-2.471811e-005	8.873352e-001
1.000050703598184e-005	-2.471811e-005	8.873352e-001
1.000050703598552e-005	-2.471811e-005	8.873352e-001
1.000050703598651e-005	-2.471811e-005	8.873352e-001
1.000050703598751e-005	-2.471811e-005	8.873352e-001
1.000050703598851e-005	-2.471811e-005	8.873352e-001
1.000050703599051e-005	-2.471811e-005	8.873352e-001
1.000057635905435e-005	-2.776287e-005	7.625537e-001
1.000062931417255e-005	-2.731505e-005	6.672345e-001
1.000064255295211e-005	-2.684968e-005	6.434047e-001
1.000064586264699e-005	-2.674599e-005	6.374472e-001
1.000065248203677e-005	-2.655626e-005	6.255323e-001
1.000066572081632e-005	-2.623436e-005	6.017025e-001
1.000069219837543e-005	-2.576451e-005	5.540429e-001
1.000074680834108e-005	-2.508723e-005	4.557450e-001
1.000077328590018e-005	-2.494176e-005	4.080854e-001
1.000077695934124e-005	-2.492568e-005	4.014732e-001
1.000077773553401e-005	-2.428646e-005	4.000760e-001
1.000077798018622e-005	-2.349194e-005	3.996357e-001
1.000077807988865e-005	-2.325159e-005	3.994562e-001
1.000077814926549e-005	-2.325348e-005	3.993313e-001
1.000077822719085e-005	-2.325530e-005	3.991911e-001
1.000077838304156e-005	-2.325886e-005	3.989105e-001
1.000077869474298e-005	-2.326583e-005	3.983495e-001
1.000077931814582e-005	-2.327944e-005	3.972273e-001
1.000078056495150e-005	-2.330590e-005	3.949831e-001
1.000078305856287e-005	-2.335673e-005	3.904946e-001
1.000078804578560e-005	-2.345145e-005	3.815176e-001
1.000079802023106e-005	-2.361739e-005	3.635636e-001
1.000081796912198e-005	-2.387651e-005	3.276556e-001
1.000085786690381e-005	-2.421798e-005	2.558396e-001
1.000092020443633e-005	-2.450110e-005	1.436320e-001
1.000100000000000e-005	-2.467234e-005	0.000000e+000
1.000100797955637e-005	-2.467629e-005	0.000000e+000
1.000102393866910e-005	-2.468336e-005	0.000000e+000
1.000105585689457e-005	-2.469341e-005	0.000000e+000
1.000111969334551e-005	-2.470386e-005	0.000000e+000
1.000124736624739e-005	-2.471077e-005	0.000000e+000
1.000150271205114e-005	-2.471295e-005	0.000000e+000
1.000201340365865e-005	-2.471320e-005	0.000000e+000
1.000303478687368e-005	-2.471368e-005	0.000000e+000
1.000507755330372e-005	-2.471463e-005	0.000000e+000
1.000916308616380e-005	-2.471763e-005	0.000000e+000
1.001733415188398e-005	-2.473376e-005	0.000000e+000
1.003367628332432e-005	-2.482846e-005	0.000000e+000
1.006636054620500e-005	-2.530863e-005	0.000000e+000
1.013172907196637e-005	-2.682883e-005	0.000000e+000
1.013272907196637e-005	-2.685937e-005	0.000000e+000
1.013472907196637e-005	-2.693053e-005	0.000000e+000
1.013872907196637e-005	-2.707598e-005	0.000000e+000
